cache_mode,batch_size,mean,min,max
dynamic,1,640.0978026009398,541.0955609986559,858.4614910068922
dynamic,2,810.2607383945724,577.6729849894764,1287.9963259911165
dynamic,4,1101.231245600502,626.5892020019237,2048.6911600019084
dynamic,8,1162.7334212462301,691.2832589878235,1905.3114249982173
no_cache,1,8064.956741401693,1538.577858998906,21615.57696100499
no_cache,2,15962.827940800344,2558.5524110065307,43677.565359990695
no_cache,4,31821.988189200056,4761.452872000518,86730.7063430053
no_cache,8,36254.31195024794,9067.646103998411,79389.88719999907
offloaded,1,992.2610028035706,643.0054550000932,1743.2976640120614
offloaded,2,1467.5878383975942,680.7834929932142,3065.8629190002102
offloaded,4,2423.8291770016076,832.0927739987383,5632.322671997827
offloaded,8,2692.747168999631,1113.631964995875,5163.080273006926
quantized,1,605.3050424001412,233.8135460013291,1068.921533995308
quantized,2,756.510418196558,217.05380200000943,1470.9182340011466
quantized,4,1146.3310551946051,246.9350509927608,2365.1621869939845
quantized,8,1155.8052870022948,323.1680480093928,2220.092878007563
