cache_mode,batch_size,mean,min,max
dynamic,1,305370828.8,59394560,780405248
dynamic,2,605653504.0,98601472,1560807936
dynamic,4,1210255872.0,198248960,3121613312
dynamic,8,1463257600.0,390203904,3121613312
no_cache,1,218405478.4,39796736,554037760
no_cache,2,436048384.0,81369600,1103500800
no_cache,4,868324454.4,160704000,2204519936
no_cache,8,1067269120.0,317761024,2226460160
offloaded,1,215691366.4,35670528,553912832
offloaded,2,430121881.6,70289920,1107823104
offloaded,4,859192627.2,141625856,2215643648
offloaded,8,1038584320.0,276957696,2215643648
quantized,1,239952793.6,48843264,611584512
quantized,2,474817433.6,77498880,1223166464
quantized,4,948583731.2,156043776,2446330368
quantized,8,1146718720.0,305793536,2446330368
