gpu_label,batch_size,seq_len,max_new_tokens,dynamic_tokens_per_sec,quantized_tokens_per_sec,throughput_loss_ratio,dynamic_peak_delta_bytes,quantized_peak_delta_bytes,memory_saving_ratio,dynamic_peak_allocated_bytes,quantized_peak_allocated_bytes,quantized_backend,quantized_nbits
RTX 5060,1,512,64,80.86282075164385,69.95905477984198,0.8651572395020587,83380736,39275008,0.47103215783559405,3171727872,3161176576,hqq,4.0
RTX 5060,1,1024,64,76.57693014698944,65.86026514171046,0.8600536090346226,99125760,77498880,0.781823816533664,3221027328,3199400448,hqq,4.0
RTX 5060,1,2048,64,68.01308652968623,56.73402145049671,0.8341633109935915,198248960,156043776,0.7871101871101871,3320150528,3277945344,hqq,4.0
RTX 5060,1,4096,64,54.78219882145448,46.23061371037344,0.8438984689360084,390203904,305793536,0.7836762596819123,3512105472,3427695104,hqq,4.0
RTX 5060,1,8192,64,38.21602605572664,31.498962648330068,0.8242343827795767,780405248,611584512,0.7836755500649837,3902306816,3733486080,hqq,4.0
RTX 5060,2,512,64,151.80365338821727,128.15534118951396,0.8442177663654381,99125760,77498880,0.781823816533664,3221027328,3199400448,hqq,4.0
RTX 5060,2,1024,64,135.26776680807794,112.74488997148218,0.833494132652076,198248960,156043776,0.7871101871101871,3320150528,3277945344,hqq,4.0
RTX 5060,2,2048,64,109.37849629326152,91.7095581821248,0.8384605867705163,390203904,305793536,0.7836762596819123,3512105472,3427695104,hqq,4.0
RTX 5060,2,4096,64,78.62175353536813,64.68043164051693,0.8226785683611131,780405248,611584512,0.7836755500649837,3902306816,3733486080,hqq,4.0
RTX 5060,4,512,64,269.4698015757414,225.53862954843515,0.836971817359808,198248960,156043776,0.7871101871101871,3320150528,3277945344,hqq,4.0
RTX 5060,4,1024,64,219.35379848176848,184.06767231885644,0.8391360149350464,390203904,305793536,0.7836762596819123,3512105472,3427695104,hqq,4.0
RTX 5060,4,2048,64,160.2388428054333,132.50529470328053,0.8269236870623956,780405248,611584512,0.7836755500649837,3902306816,3733486080,hqq,4.0
RTX 5060,8,512,64,440.22081575978217,372.76706820073457,0.846772925894864,390203904,305793536,0.7836762596819123,3512105472,3427695104,hqq,4.0
RTX 5060,8,1024,64,322.84478272006095,270.8043071136583,0.8388065151062795,780405248,611584512,0.7836755500649837,3902306816,3733486080,hqq,4.0
RTX 5080,1,512,64,118.27855301913849,68.4305946923582,0.5785545472583313,59394560,48843264,0.8223524848066893,3147741696,3137190400,quanto_inferred_from_script,4.0
RTX 5080,1,1024,64,116.26559296948264,79.97459609747123,0.6878612498752141,98601472,77498880,0.7859809638541705,3196516864,3175414272,quanto_inferred_from_script,4.0
RTX 5080,1,2048,64,109.84040710607964,74.53497828977828,0.6785752188426911,198248960,156043776,0.7871101871101871,3296164352,3253959168,quanto_inferred_from_script,4.0
RTX 5080,1,4096,64,95.83641309013188,72.87797468864598,0.7604413848430028,390203904,305793536,0.7836762596819123,3488119296,3403708928,quanto_inferred_from_script,4.0
RTX 5080,1,8192,64,74.5519754473019,59.87343127122456,0.803109923137408,780405248,611584512,0.7836755500649837,3878320640,3709499904,quanto_inferred_from_script,4.0
RTX 5080,2,512,64,221.57864973092316,147.42888493608882,0.6653569065210974,98601472,77498880,0.7859809638541705,3196516864,3175414272,quanto_inferred_from_script,4.0
RTX 5080,2,1024,64,209.41879347694623,146.1584293918906,0.6979241307107443,198248960,156043776,0.7871101871101871,3296164352,3253959168,quanto_inferred_from_script,4.0
RTX 5080,2,2048,64,184.0561172731599,125.085217986387,0.6796036982609305,390203904,305793536,0.7836762596819123,3488119296,3403708928,quanto_inferred_from_script,4.0
RTX 5080,2,4096,64,145.6235240144074,120.94474399443304,0.8305302650309936,780405248,611584512,0.7836755500649837,3878320640,3709499904,quanto_inferred_from_script,4.0
RTX 5080,2,8192,64,99.3791654657894,87.02047268244023,0.8756410086015105,1560807936,1223166464,0.7836751952547735,4658723328,4321081856,quanto_inferred_from_script,4.0
RTX 5080,4,512,64,408.5611421040959,259.17746282959337,0.6343664047315553,198248960,156043776,0.7871101871101871,3296164352,3253959168,quanto_inferred_from_script,4.0
RTX 5080,4,1024,64,365.84654289478,268.1078954162436,0.7328425008333433,390203904,305793536,0.7836762596819123,3488119296,3403708928,quanto_inferred_from_script,4.0
RTX 5080,4,2048,64,291.24339828704893,246.56488831466467,0.8465939134237501,780405248,611584512,0.7836755500649837,3878320640,3709499904,quanto_inferred_from_script,4.0
RTX 5080,4,4096,64,204.4501380541332,177.8075322645534,0.8696865355868554,1560807936,1223166464,0.7836751952547735,4658723328,4321081856,quanto_inferred_from_script,4.0
RTX 5080,4,8192,64,124.95782917312025,108.23782039461936,0.8661947883606678,3121613312,2446330368,0.7836750178492319,6219528704,5544245760,quanto_inferred_from_script,4.0
RTX 5080,8,512,64,740.651525034282,396.0787608442024,0.5347707355707793,390203904,305793536,0.7836762596819123,3488119296,3403708928,quanto_inferred_from_script,4.0
RTX 5080,8,1024,64,600.2276234277961,402.8190444943044,0.6711104733798731,780405248,611584512,0.7836755500649837,3878320640,3709499904,quanto_inferred_from_script,4.0
RTX 5080,8,2048,64,426.1945581705932,369.7127222033911,0.8674740564270788,1560807936,1223166464,0.7836751952547735,4658723328,4321081856,quanto_inferred_from_script,4.0
RTX 5080,8,4096,64,268.72247407033683,230.62098215435824,0.858212484654314,3121613312,2446330368,0.7836750178492319,6219528704,5544245760,quanto_inferred_from_script,4.0
