gpu_label,cache_mode,batch_size,seq_len,max_new_tokens,status,tokens_per_sec,peak_delta_bytes,peak_delta_gib
RTX 5060,dynamic,1,512,64,ok,80.86282075164385,83380736,0.07765436172485352
RTX 5060,dynamic,1,1024,64,ok,76.57693014698944,99125760,0.09231805801391602
RTX 5060,dynamic,1,2048,64,ok,68.01308652968623,198248960,0.18463373184204102
RTX 5060,dynamic,1,4096,64,ok,54.78219882145448,390203904,0.363405704498291
RTX 5060,dynamic,1,8192,64,ok,38.21602605572664,780405248,0.726809024810791
RTX 5060,dynamic,2,512,64,ok,151.80365338821727,99125760,0.09231805801391602
RTX 5060,dynamic,2,1024,64,ok,135.26776680807794,198248960,0.18463373184204102
RTX 5060,dynamic,2,2048,64,ok,109.37849629326152,390203904,0.363405704498291
RTX 5060,dynamic,2,4096,64,ok,78.62175353536813,780405248,0.726809024810791
RTX 5060,dynamic,2,8192,64,oom,,1556414464,1.44952392578125
RTX 5060,dynamic,4,512,64,ok,269.4698015757414,198248960,0.18463373184204102
RTX 5060,dynamic,4,1024,64,ok,219.35379848176848,390203904,0.363405704498291
RTX 5060,dynamic,4,2048,64,ok,160.2388428054333,780405248,0.726809024810791
RTX 5060,dynamic,4,4096,64,oom,,1554284544,1.447540283203125
RTX 5060,dynamic,4,8192,64,oom,,3108569088,2.89508056640625
RTX 5060,dynamic,8,512,64,ok,440.22081575978217,390203904,0.363405704498291
RTX 5060,dynamic,8,1024,64,ok,322.84478272006095,780405248,0.726809024810791
RTX 5060,dynamic,8,2048,64,oom,,1553219584,1.4465484619140625
RTX 5060,dynamic,8,4096,64,oom,,3106439168,2.893096923828125
RTX 5060,dynamic,8,8192,64,oom,,3106439168,2.893096923828125
RTX 5060,no_cache,1,512,64,ok,19.60113108905296,40160256,0.03740215301513672
RTX 5060,no_cache,1,1024,64,ok,10.555019402624303,73629696,0.068572998046875
RTX 5060,no_cache,1,2048,64,ok,5.334388002298061,141844480,0.13210296630859375
RTX 5060,no_cache,1,4096,64,ok,2.5221037228393737,282718720,0.2633023262023926
RTX 5060,no_cache,1,8192,64,ok,1.1386161867851672,554037760,0.5159878730773926
RTX 5060,no_cache,2,512,64,ok,20.749032018892912,81369600,0.07578134536743164
RTX 5060,no_cache,2,1024,64,ok,10.749747521895411,151157248,0.1407761573791504
RTX 5060,no_cache,2,2048,64,ok,5.237624640443586,286431744,0.26676034927368164
RTX 5060,no_cache,2,4096,64,ok,2.4690830845445944,557782528,0.5194754600524902
RTX 5060,no_cache,2,8192,64,oom,,1556414464,1.44952392578125
RTX 5060,no_cache,4,512,64,ok,21.220095237617933,160835072,0.14978933334350586
RTX 5060,no_cache,4,1024,64,ok,10.565114816945002,295949824,0.27562475204467773
RTX 5060,no_cache,4,2048,64,ok,5.136284113882335,567365120,0.5283999443054199
RTX 5060,no_cache,4,4096,64,oom,,1554284544,1.447540283203125
RTX 5060,no_cache,4,8192,64,oom,,3108569088,2.89508056640625
RTX 5060,no_cache,8,512,64,ok,20.75731288444125,317892096,0.29606008529663086
RTX 5060,no_cache,8,1024,64,ok,10.372068120689208,589622784,0.5491290092468262
RTX 5060,no_cache,8,2048,64,oom,,1553219584,1.4465484619140625
RTX 5060,no_cache,8,4096,64,oom,,3106439168,2.893096923828125
RTX 5060,no_cache,8,8192,64,oom,,3106439168,2.893096923828125
RTX 5060,quantized,1,512,64,ok,69.95905477984198,39275008,0.036577701568603516
RTX 5060,quantized,1,1024,64,ok,65.86026514171046,77498880,0.07217645645141602
RTX 5060,quantized,1,2048,64,ok,56.73402145049671,156043776,0.14532709121704102
RTX 5060,quantized,1,4096,64,ok,46.23061371037344,305793536,0.284792423248291
RTX 5060,quantized,1,8192,64,ok,31.498962648330068,611584512,0.569582462310791
RTX 5060,quantized,2,512,64,ok,128.15534118951396,77498880,0.07217645645141602
RTX 5060,quantized,2,1024,64,ok,112.74488997148218,156043776,0.14532709121704102
