gpu_label,cache_mode,batch_size,seq_len,max_new_tokens,status,prefill_status,tokens_per_sec,peak_delta_bytes,quantized_backend,peak_delta_gib
RTX 5060,dynamic,2,2048,64,ok,ok,109.83014581706908,423758336,,0.394655704498291
RTX 5060,dynamic,2,4096,64,ok,ok,79.05411328545925,780405248,,0.726809024810791
RTX 5060,dynamic,2,8192,64,ok,oom,49.08773120697311,1560807936,,1.453615665435791
RTX 5060,dynamic,4,2048,64,ok,ok,160.99163886619206,780405248,,0.726809024810791
RTX 5060,dynamic,4,4096,64,ok,oom,102.6164735143926,1560807936,,1.453615665435791
RTX 5060,dynamic,4,8192,64,ok,oom,56.37850834746428,3121613312,,2.907228946685791
RTX 5060,dynamic,8,2048,64,ok,oom,210.6100852577304,1560807936,,1.453615665435791
RTX 5060,dynamic,8,4096,64,ok,oom,119.43317102871656,3121613312,,2.907228946685791
RTX 5060,dynamic,8,8192,64,oom,oom,,4229958144,,3.939455509185791
RTX 5060,quantized,2,2048,64,ok,ok,91.50431726471558,305793536,hqq,0.284792423248291
RTX 5060,quantized,2,4096,64,ok,ok,64.86238927981938,611584512,hqq,0.569582462310791
RTX 5060,quantized,2,8192,64,ok,oom,38.68142893716002,1223166464,hqq,1.139162540435791
RTX 5060,quantized,4,2048,64,ok,ok,132.72088940217915,611584512,hqq,0.569582462310791
RTX 5060,quantized,4,4096,64,ok,oom,81.39514107920495,1223166464,hqq,1.139162540435791
RTX 5060,quantized,4,8192,64,ok,oom,41.51607397361786,2446330368,hqq,2.278322696685791
RTX 5060,quantized,8,2048,64,ok,oom,169.37159118399964,1223166464,hqq,1.139162540435791
RTX 5060,quantized,8,4096,64,ok,oom,88.67175251862795,2446330368,hqq,2.278322696685791
RTX 5060,quantized,8,8192,64,oom,oom,,4181723648,hqq,3.894533634185791
