cache_mode,batch_size,seq_len,max_new_tokens,RTX 5060_status,RTX 5060_tokens_per_sec,RTX 5060_peak_delta_bytes,RTX 5080_status,RTX 5080_tokens_per_sec,RTX 5080_peak_delta_bytes
dynamic,1,512,64,ok,80.86282075164385,83380736,ok,118.27855301913849,59394560
dynamic,1,1024,64,ok,76.57693014698944,99125760,ok,116.26559296948264,98601472
dynamic,1,2048,64,ok,68.01308652968623,198248960,ok,109.84040710607964,198248960
dynamic,1,4096,64,ok,54.78219882145448,390203904,ok,95.83641309013188,390203904
dynamic,1,8192,64,ok,38.21602605572664,780405248,ok,74.5519754473019,780405248
dynamic,2,512,64,ok,151.80365338821727,99125760,ok,221.57864973092316,98601472
dynamic,2,1024,64,ok,135.26776680807794,198248960,ok,209.41879347694623,198248960
dynamic,2,2048,64,ok,109.37849629326152,390203904,ok,184.0561172731599,390203904
dynamic,2,4096,64,ok,78.62175353536813,780405248,ok,145.6235240144074,780405248
dynamic,2,8192,64,oom,,1556414464,ok,99.3791654657894,1560807936
dynamic,4,512,64,ok,269.4698015757414,198248960,ok,408.5611421040959,198248960
dynamic,4,1024,64,ok,219.35379848176848,390203904,ok,365.84654289478,390203904
dynamic,4,2048,64,ok,160.2388428054333,780405248,ok,291.24339828704893,780405248
dynamic,4,4096,64,oom,,1554284544,ok,204.4501380541332,1560807936
dynamic,4,8192,64,oom,,3108569088,ok,124.95782917312025,3121613312
dynamic,8,512,64,ok,440.22081575978217,390203904,ok,740.651525034282,390203904
dynamic,8,1024,64,ok,322.84478272006095,780405248,ok,600.2276234277961,780405248
dynamic,8,2048,64,oom,,1553219584,ok,426.1945581705932,1560807936
dynamic,8,4096,64,oom,,3106439168,ok,268.72247407033683,3121613312
dynamic,8,8192,64,oom,,3106439168,oom,,6212878336
no_cache,1,512,64,ok,19.60113108905296,40160256,ok,41.5968549304631,39796736
no_cache,1,1024,64,ok,10.555019402624303,73629696,ok,24.796895112223567,73629696
no_cache,1,2048,64,ok,5.334388002298061,141844480,ok,12.947382543990956,141844480
no_cache,1,4096,64,ok,2.5221037228393737,282718720,ok,6.634478005934631,282718720
no_cache,1,8192,64,ok,1.1386161867851672,554037760,ok,2.960827745447531,554037760
no_cache,2,512,64,ok,20.749032018892912,81369600,ok,50.02828921907642,81369600
no_cache,2,1024,64,ok,10.749747521895411,151157248,ok,26.71068806756172,151157248
no_cache,2,2048,64,ok,5.237624640443586,286431744,ok,14.01186197951194,286431744
no_cache,2,4096,64,ok,2.4690830845445944,557782528,ok,6.513724541980868,557782528
no_cache,2,8192,64,oom,,1556414464,ok,2.930566274585669,1103500800
no_cache,4,512,64,ok,21.220095237617933,160835072,ok,53.76510214044016,160704000
no_cache,4,1024,64,ok,10.565114816945002,295949824,ok,28.427074851082285,295949824
no_cache,4,2048,64,ok,5.136284113882335,567365120,ok,13.707821587114587,567365120
no_cache,4,4096,64,oom,,1554284544,ok,6.4101258652553055,1113083392
no_cache,4,8192,64,oom,,3108569088,ok,2.951665111403143,2204519936
no_cache,8,512,64,ok,20.75731288444125,317892096,ok,56.46448859249499,317761024
no_cache,8,1024,64,ok,10.372068120689208,589622784,ok,27.842470894839664,589831680
no_cache,8,2048,64,oom,,1553219584,ok,13.41348519459408,1135023616
no_cache,8,4096,64,oom,,3106439168,ok,6.449184122282088,2226460160
no_cache,8,8192,64,oom,,3106439168,oom,,6212878336
quantized,1,512,64,ok,69.95905477984198,39275008,ok,68.4305946923582,48843264
quantized,1,1024,64,ok,65.86026514171046,77498880,ok,79.97459609747123,77498880
quantized,1,2048,64,ok,56.73402145049671,156043776,ok,74.53497828977828,156043776
quantized,1,4096,64,ok,46.23061371037344,305793536,ok,72.87797468864598,305793536
quantized,1,8192,64,ok,31.498962648330068,611584512,ok,59.87343127122456,611584512
quantized,2,512,64,ok,128.15534118951396,77498880,ok,147.42888493608882,77498880
quantized,2,1024,64,ok,112.74488997148218,156043776,ok,146.1584293918906,156043776
quantized,2,2048,64,ok,91.7095581821248,305793536,ok,125.085217986387,305793536
quantized,2,4096,64,ok,64.68043164051693,611584512,ok,120.94474399443304,611584512
quantized,2,8192,64,oom,,1556414464,ok,87.02047268244023,1223166464
quantized,4,512,64,ok,225.53862954843515,156043776,ok,259.17746282959337,156043776
quantized,4,1024,64,ok,184.06767231885644,305793536,ok,268.1078954162436,305793536
quantized,4,2048,64,ok,132.50529470328053,611584512,ok,246.56488831466467,611584512
quantized,4,4096,64,oom,,1554284544,ok,177.8075322645534,1223166464
quantized,4,8192,64,oom,,3108569088,ok,108.23782039461936,2446330368
quantized,8,512,64,ok,372.76706820073457,305793536,ok,396.0787608442024,305793536
quantized,8,1024,64,ok,270.8043071136583,611584512,ok,402.8190444943044,611584512
quantized,8,2048,64,oom,,1553219584,ok,369.7127222033911,1223166464
quantized,8,4096,64,oom,,3106439168,ok,230.62098215435824,2446330368
quantized,8,8192,64,oom,,3106439168,oom,,6212878336
