model_id,gpu_name,dtype,cache_mode,batch_size,seq_len,max_new_tokens,status,error,latency_ms,tokens_per_sec,generated_tokens_total,theoretical_kv_bytes,actual_prefill_kv_bytes,kv_actual_over_theory,base_allocated_bytes,peak_allocated_bytes,peak_delta_bytes,peak_reserved_bytes,free_before_bytes,free_after_bytes,total_vram_bytes,num_layers,num_attention_heads,num_key_value_heads,head_dim
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,512,64,ok,,541.0955609986559,118.27855301913849,64,14680064,14680064,1.0,3088347136,3147741696,59394560,3355443200,12576292864,12532252672,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,1024,64,ok,,550.4637990088668,116.26559296948263,64,29360128,29360128,1.0,3097915392,3196516864,98601472,3430940672,12576292864,12456755200,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,2048,64,ok,,582.6635359990178,109.84040710607964,64,58720256,58720256,1.0,3097915392,3296164352,198248960,3529506816,12576292864,12358189056,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,4096,64,ok,,667.8046259912662,95.83641309013187,64,117440512,117440512,1.0,3097915392,3488119296,390203904,3705667584,12576292864,12182028288,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,8192,64,ok,,858.4614910068922,74.5519754473019,64,234881024,234881024,1.0,3097915392,3878320640,780405248,4120903680,12576292864,11766792192,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,512,64,ok,,577.6729849894764,221.57864973092313,128,29360128,29360128,1.0,3097915392,3196516864,98601472,3428843520,12576292864,12458852352,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,1024,64,ok,,611.2154400034342,209.41879347694623,128,58720256,58720256,1.0,3097915392,3296164352,198248960,3529506816,12576292864,12358189056,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,2048,64,ok,,695.4400749964407,184.0561172731599,128,117440512,117440512,1.0,3097915392,3488119296,390203904,3705667584,12576292864,12182028288,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,4096,64,ok,,878.9788659923943,145.6235240144074,128,234881024,234881024,1.0,3097915392,3878320640,780405248,4120903680,12576292864,11766792192,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,8192,64,ok,,1287.9963259911165,99.37916546578941,128,469762048,469762048,1.0,3097915392,4658723328,1560807936,4930404352,12576292864,10957291520,16600596480,28,12,2,128
