model_id,gpu_name,dtype,cache_mode,batch_size,seq_len,max_new_tokens,status,error,latency_ms,tokens_per_sec,generated_tokens_total,theoretical_kv_bytes,actual_prefill_kv_bytes,kv_actual_over_theory,base_allocated_bytes,peak_allocated_bytes,peak_delta_bytes,peak_reserved_bytes,free_before_bytes,free_after_bytes,total_vram_bytes,num_layers,num_attention_heads,num_key_value_heads,head_dim
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,512,64,ok,,570.8852030802518,112.10660156312238,64,14680064,14680064,1.0,3088347136,3147741696,59394560,3355443200,10347413504,10299179008,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,1024,64,ok,,589.8992349393666,108.49310561756926,64,29360128,29360128,1.0,3097915392,3196516864,98601472,3430940672,10343219200,10223681536,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,2048,64,ok,,627.4487540358678,102.00036192332844,64,58720256,58720256,1.0,3097915392,3296164352,198248960,3529506816,10347413504,10125115392,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,4096,64,ok,,712.3425200115889,89.84441922540128,64,117440512,117440512,1.0,3097915392,3488119296,390203904,3705667584,10347413504,9953148928,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,1,8192,64,ok,,921.7921580420807,69.42996796147439,64,234881024,234881024,1.0,3097915392,3878320640,780405248,4120903680,10347413504,9533718528,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,512,64,ok,,627.5577229680493,203.9653012230029,128,29360128,29360128,1.0,3097915392,3196516864,98601472,3428843520,10343219200,10229972992,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,1024,64,ok,,658.2479779608548,194.4555916396784,128,58720256,58720256,1.0,3097915392,3296164352,198248960,3529506816,10347413504,10129309696,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,2048,64,ok,,751.0199029929936,170.43489725091098,128,117440512,117440512,1.0,3097915392,3488119296,390203904,3705667584,10347413504,9953148928,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,4096,64,ok,,934.2321590520442,137.0109118592966,128,234881024,234881024,1.0,3097915392,3878320640,780405248,4120903680,10347413504,9537912832,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,2,8192,64,ok,,1383.8571909582242,92.49509330610115,128,469762048,469762048,1.0,3097915392,4658723328,1560807936,4930404352,10347413504,8728412160,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,4,512,64,ok,,671.5380960376933,381.21441137962,256,58720256,58720256,1.0,3097915392,3296164352,198248960,3529506816,10347413504,10125115392,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,4,1024,64,ok,,750.7286670152098,341.00203075742337,256,117440512,117440512,1.0,3097915392,3488119296,390203904,3705667584,10347413504,9948954624,16600596480,28,12,2,128
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5080,fp16,dynamic,4,2048,64,ok,,944.8646460659802,270.9382778431562,256,234881024,234881024,1.0,3097915392,3878320640,780405248,4120903680,10347413504,9537912832,16600596480,28,12,2,128
