cache_mode,batch_size,seq_len,throughput_5060,throughput_5080,speedup_5080_over_5060,bandwidth_ratio_expected,cuda_core_ratio_expected,peak_alloc_mib_5060,peak_alloc_mib_5080,avg_gpu_util_percent_5080,avg_memory_util_percent_5080,avg_power_draw_w_5080,metric_type,gpu,memory_saving_ratio,throughput_loss_ratio,dynamic_peak_memory_mib,quantized_peak_memory_mib,dynamic_throughput,quantized_throughput
dynamic,1,1024,2097.012285,2308.606911,1.1009029024357861,2.142857142857143,2.8,3013.599609,2990.724609,3.75,0.0,21.075,cross_gpu_speedup,,,,,,,
dynamic,1,2048,7096.237227,9737.455149,1.3721997782078938,2.142857142857143,2.8,3047.982422,3025.107422,5.0,0.0,56.52,cross_gpu_speedup,,,,,,,
dynamic,1,4096,6077.88335,8248.869787,1.3571944889333882,2.142857142857143,2.8,3116.998047,3094.123047,5.0,0.0,88.345,cross_gpu_speedup,,,,,,,
dynamic,1,8192,4689.208961,6274.182226,1.3380044007810636,2.142857142857143,2.8,3254.404297,3231.529297,5.0,0.0,117.338182,cross_gpu_speedup,,,,,,,
dynamic,1,12288,3814.610884,5126.485555,1.3439078613502955,2.142857142857143,2.8,3393.060547,3370.185547,5.0,0.0,130.48,cross_gpu_speedup,,,,,,,
dynamic,1,16384,3211.90788,4285.755132,1.334333141584372,2.142857142857143,2.8,3529.341797,3506.529297,5.0,0.0,138.320333,cross_gpu_speedup,,,,,,,
dynamic,2,1024,9237.546948,15302.551886,1.656560120575422,2.142857142857143,2.8,3049.858398,3026.983398,5.0,0.0,121.26,cross_gpu_speedup,,,,,,,
dynamic,2,2048,8354.500858,15348.152972,1.8371119032566865,2.142857142857143,2.8,3119.124023,3096.249023,5.0,0.0,91.015,cross_gpu_speedup,,,,,,,
dynamic,2,4096,6948.355557,13152.462928,1.8928885863864264,2.142857142857143,2.8,3256.780273,3233.530273,91.0,33.0,112.49,cross_gpu_speedup,,,,,,,
dynamic,2,8192,5180.242476,10207.502578,1.970468105555142,2.142857142857143,2.8,3531.467773,3508.467773,91.0,33.0,154.186154,cross_gpu_speedup,,,,,,,
dynamic,2,12288,4127.631846,8391.415408,2.0329854311333366,2.142857142857143,2.8,3806.405273,3783.405273,91.0,33.0,180.647391,cross_gpu_speedup,,,,,,,
dynamic,2,16384,3425.440793,7103.458111,2.073735481143375,2.142857142857143,2.8,4081.467773,4058.592773,91.0,33.0,190.310833,cross_gpu_speedup,,,,,,,
dynamic,4,1024,10190.168799,21294.680051,2.089727900590786,2.142857142857143,2.8,3123.625977,3100.750977,91.0,33.0,168.71,cross_gpu_speedup,,,,,,,
dynamic,4,2048,9054.562626,19030.002004,2.1017030628686273,2.142857142857143,2.8,3262.907227,3239.032227,91.0,33.0,129.4375,cross_gpu_speedup,,,,,,,
dynamic,4,4096,7444.447492,15817.858105,2.1247860397965446,2.142857142857143,2.8,3536.719727,3514.344727,91.0,33.0,158.5825,cross_gpu_speedup,,,,,,,
dynamic,4,8192,5455.953992,11833.898828,2.1689880166423516,2.142857142857143,2.8,4087.094727,4064.219727,91.0,33.0,204.365909,cross_gpu_speedup,,,,,,,
dynamic,4,12288,4307.827641,9392.826628,2.1804091088982362,2.142857142857143,2.8,4636.719727,4613.844727,91.0,33.0,212.218049,cross_gpu_speedup,,,,,,,
dynamic,4,16384,3556.627274,7737.956242,2.1756444085571616,2.142857142857143,2.8,5186.594727,5163.719727,91.0,33.0,214.318333,cross_gpu_speedup,,,,,,,
dynamic,8,1024,10587.214804,25513.943939,2.4098825244728643,2.142857142857143,2.8,3268.911133,3247.411133,91.0,33.0,177.26,cross_gpu_speedup,,,,,,,
dynamic,8,2048,9462.685199,23099.501747,2.4411148908811966,2.142857142857143,2.8,3544.473633,3522.473633,91.0,33.0,165.525,cross_gpu_speedup,,,,,,,
dynamic,8,4096,7850.542316,19432.152879,2.475262484656098,2.142857142857143,2.8,4095.598633,4073.223633,91.0,33.0,218.734615,cross_gpu_speedup,,,,,,,
dynamic,8,8192,5831.78558,14323.198881,2.456057186005114,2.142857142857143,2.8,5194.348633,5171.473633,49.514286,15.085714,246.721143,cross_gpu_speedup,,,,,,,
no_cache,8,12288,11787.971625,28394.06204,2.4087317940078603,2.142857142857143,2.8,3043.356445,3019.981445,0.0,0.0,212.627407,cross_gpu_speedup,,,,,,,
no_cache,8,16384,11768.805474,30969.979354,2.6315312477905946,2.142857142857143,2.8,3043.356445,3019.981445,0.0,0.0,267.63303,cross_gpu_speedup,,,,,,,
quantized,1,1024,1875.529448,1596.45715,0.8512034570837621,2.142857142857143,2.8,2996.990234,2974.115234,0.8,0.0,29.524,cross_gpu_speedup,,,,,,,
quantized,1,2048,1915.574046,7458.162757,3.8934348544624204,2.142857142857143,2.8,3012.248047,2989.373047,1.0,0.0,63.97,cross_gpu_speedup,,,,,,,
quantized,8,12288,850.671887,9552.577042,11.229449553914788,2.142857142857143,2.8,4489.794434,4456.098633,2.240506,0.721519,245.965316,cross_gpu_speedup,,,,,,,
quantized,8,16384,647.77001,7640.041608,11.794373759291513,2.142857142857143,2.8,4986.294434,4944.223633,99.0,57.0,254.210455,cross_gpu_speedup,,,,,,,
,1,1024,,,,2.142857142857143,2.8,,,,,,quantized_vs_dynamic,RTX 5060,0.994488526295797,0.8943817169864602,3013.599609,2996.990234,2097.012285,1875.529448
,1,2048,,,,2.142857142857143,2.8,,,,,,quantized_vs_dynamic,RTX 5060,0.9882760560749717,0.2699422221556461,3047.982422,3012.248047,7096.237227,1915.574046
,1,1024,,,,2.142857142857143,2.8,,,,,,quantized_vs_dynamic,RTX 5080,0.9944463709731022,0.6915240279292398,2990.724609,2974.115234,2308.606911,1596.45715
,1,2048,,,,2.142857142857143,2.8,,,,,,quantized_vs_dynamic,RTX 5080,0.9881874029529917,0.765925248730509,3025.107422,2989.373047,9737.455149,7458.162757
,8,12288,,,,2.142857142857143,2.8,,,,,,quantized_vs_dynamic,RTX 5080,0.7103363268541713,0.8409565334661476,6273.223633,4456.098633,11359.180483,9552.577042
,8,16384,,,,2.142857142857143,2.8,,,,,,quantized_vs_dynamic,RTX 5080,0.6707239120908078,0.813576409731132,7371.473633,4944.223633,9390.687238,7640.041608
