gpu,gpu_name,detected_gpu_name,model,resolved_model,dtype,cache_mode,batch_size,seq_len,chunk_size,status,success,error_type,error_message,elapsed_sec,latency_sec,throughput_tokens_per_sec,peak_memory_allocated_mib,peak_vram_used_mib,avg_gpu_util_percent,max_gpu_util_percent,avg_memory_util_percent,max_memory_util_percent,avg_power_draw_w,max_power_draw_w,kv_actual_over_theory,kv_theory_mb,kv_actual_mb,quant_backend,measurement,source_csv,result_label,status_norm
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,1024,128,OK,True,,,0.488314,0.488314,2097.012285,3013.599609,3439.0,,,,,,,1.0,28.0,28.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,2048,128,OK,True,,,0.288604,0.288604,7096.237227,3047.982422,3483.0,,,,,,,1.0,56.0,56.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,4096,128,OK,True,,,0.673919,0.673919,6077.88335,3116.998047,3591.0,,,,,,,1.0,112.0,112.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,8192,128,OK,True,,,1.74699,1.74699,4689.208961,3254.404297,3829.0,,,,,,,1.0,224.0,224.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,12288,128,OK,True,,,3.221298,3.221298,3814.610884,3393.060547,4201.0,,,,,,,1.0,336.0,336.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,16384,128,OK,True,,,5.101018,5.101018,3211.90788,3529.341797,4717.0,,,,,,,1.0,448.0,448.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,1024,128,OK,True,,,0.221704,0.221704,9237.546948,3049.858398,3497.0,,,,,,,1.0,56.0,56.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,2048,128,OK,True,,,0.490275,0.490275,8354.500858,3119.124023,3605.0,,,,,,,1.0,112.0,112.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,4096,128,OK,True,,,1.178984,1.178984,6948.355557,3256.780273,3843.0,,,,,,,1.0,224.0,224.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,8192,128,OK,True,,,3.162786,3.162786,5180.242476,3531.467773,4731.0,,,,,,,1.0,448.0,448.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,12288,128,OK,True,,,5.954019,5.954019,4127.631846,3806.405273,6195.0,,,,,,,1.0,672.0,672.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,16384,128,OK,True,,,9.566068,9.566068,3425.440793,4081.467773,7671.0,,,,,,,1.0,896.0,896.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,1024,128,OK,True,,,0.401956,0.401956,10190.168799,3123.625977,3501.0,,,,,,,1.0,112.0,112.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,2048,128,OK,True,,,0.904737,0.904737,9054.562626,3262.907227,3839.0,,,,,,,1.0,224.0,224.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,4096,128,OK,True,,,2.200835,2.200835,7444.447492,3536.719727,4727.0,,,,,,,1.0,448.0,448.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,8192,128,OK,True,,,6.005916,6.005916,5455.953992,4087.094727,7667.0,,,,,,,1.0,896.0,896.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,12288,128,OK,True,,,11.409927,11.409927,4307.827641,4636.719727,7677.0,,,,,,,1.0,1344.0,1344.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,16384,128,OK,True,,,18.426446,18.426446,3556.627274,5186.594727,7677.0,,,,,,,1.0,1792.0,1792.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
